consumer_iso3c,scenario,change_in_stock,live_weight_t,pct_change
NZL,ssp126,7427.745924074041,7300.846398079733,1.7381481416686797
NZL,ssp585,7400.354777020242,7300.846398079733,1.3629704491068542
OMN,ssp126,3436.606015180838,3372.740881295713,1.8935677578821246
OMN,ssp585,3440.57412391593,3372.740881295713,2.0112201028072367
PAK,ssp126,39959.81553155059,35471.6294258265,12.652889586335977
PAK,ssp585,40226.70096771073,35471.6294258265,13.405280836696257
PAN,ssp126,12826.893369048905,12703.735092444684,0.9694650880863162
PAN,ssp585,12737.150205500193,12703.735092444684,0.2630337677253853
PER,ssp126,17680.007410515766,17201.59795972726,2.781191909661927
PER,ssp585,17708.623577057297,17201.59795972726,2.9475495155571925
PHL,ssp126,144864.73040441048,145819.44969826742,-0.6547269900088498
PHL,ssp585,144657.4628888203,145819.44969826742,-0.7968668184193012
PLW,ssp126,1014.8903870798536,1050.2504870819812,-3.3668253847110545
PLW,ssp585,1033.784191381496,1050.2504870819812,-1.56784461450099
PNG,ssp126,9167.727151718209,9261.16427281324,-1.0089133325204171
PNG,ssp585,9167.48475185057,9261.16427281324,-1.0115307125873076
POL,ssp126,111769.71964851703,107040.13708537833,4.418513178254102
POL,ssp585,112992.29781691059,107040.13708537833,5.560681155317136
PRK,ssp126,5882.489422431087,5719.396079205518,2.8515832959801766
PRK,ssp585,5864.843500482113,5719.396079205518,2.543055582483798
PRT,ssp126,116330.2125412776,103167.47527700322,12.758611402413994
PRT,ssp585,119786.32737370838,103167.47527700322,16.10861567764819
PRY,ssp126,834.6138576600837,821.0746169758753,1.6489659288305814
PRY,ssp585,827.4920189649978,821.0746169758753,0.7815857239331802
PSE,ssp126,563.4804232256201,551.3662575309241,2.1971177106383877
PSE,ssp585,560.5013235387405,551.3662575309241,1.656805414376307
QAT,ssp126,4777.322998977104,4695.62712358035,1.7398288502614898
QAT,ssp585,4803.353761218671,4695.62712358035,2.2941906331817354
ROU,ssp126,13657.883829823688,13598.461910628079,0.43697529607496954
ROU,ssp585,13617.620246032759,13598.461910628079,0.1408860467499362
RUS,ssp126,2087847.748619221,1778912.9885225424,17.36649077779015
RUS,ssp585,2135075.752417976,1778912.9885225424,20.021370701848713
RWA,ssp126,4270.660290609643,4202.47034432124,1.6226157640956935
RWA,ssp585,4264.094206383851,4202.47034432124,1.466372324218365
